mcSEED_subsystem	name	alt_names	functional_role_description	dupl_subsystem		functional_role_type	database_classification	additional_classification	function_description	regulon	example_mcSEED_id	example_locus_tag	evidence	evidence_info	reference
Galactose utilization	Pgm	NA	Phosphoglucomutase (EC 5.4.2.2)	yes	Gal	downstream_catabolism	EC 5.4.2.2	NA	Converts D-glucose-1-phosphate to D-glucose-6-phosphate	NA	fig|326426.4.peg.1714	Bbr_1595	homology_with_characterized	58% amino acid sequence identity with characterized phosphoglucomutase from Mycobacterium tuberculosis	22809717
Galactose utilization	GalP	NA	Galactose MFS permease (TC 2.A.1.1.42)	no	Gal	transporter	TC 2.A.1.1.42	MFS Superfamily; Sugar Porter (SP) Family	Transports D-galactose (based on the inhibition of glucose transport data)	NA	fig|206672.9.peg.1685	BL1631	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	16452407
Galactose utilization	GalS	NA	Putative galactose MFS permease (TC 2.A.2)	no	Gal	transporter	TC 2.A.2	MFS Superfamily; Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	Predicted to transport D-galactose	LacR	fig|326426.4.peg.1665	Bbr_1551	predicted_previously	Function was suggested previously in the literature	22562993
Galactose utilization	SgaT	NA	Putative galactose MFS permease (TC 2.A.21)	no	Gal	transporter	TC 2.A.21	MFS Superfamily; Solute:Sodium Symporter (SSS) Family	Predicted to transport D-galactose	NA	fig|391904.5.peg.1394	Blon_1383	predicted_previously	Function was suggested previously in the literature	35768643
Galactose utilization	GalR	NA	Putative transcriptional regulator of galactose utilization (DeoR family)	no	Gal	regulator	DeoR	NA	Predicted to regulate the expression of galK, galT, and galE	GalR	fig|326426.4.peg.534	Bbr_0490	predicted_previously	Function was suggested previously in the literature	26903998
Galactose utilization	GalR2	NA	Putative transcriptional regulator of galactose utilization (LacI family)	no	Gal	regulator	LacI	NA	Predicted to regulate the expression of galK, galT, and galE	GalR2	fig|518635.5.peg.403	BIFANG_02305	predicted_previously	Function was suggested previously in the literature	26903998
Ribose utilization	RbsD	NA	D-ribose pyranase (EC 5.4.99.62)	no	Rib	downstream_catabolism	EC 5.4.99.62	NA	Predicted to catalyze the interconversion between pyranose and furanose forms of D-ribose	RbsR	fig|326426.4.peg.1521	Bbr_1416	homology_with_characterized	38% sequence identity with characterized D-ribose pyranase from Bacillus subtilis. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on D-ribose	12738765;21255330
Ribose utilization	RbsK	NA	Ribokinase (EC 2.7.1.15)	no	Rib	downstream_catabolism	EC 2.7.1.15	NA	Phosphorylates D‐ribose to D-ribose‐5‐phosphate	RbsR	fig|326426.4.peg.1520	Bbr_1415	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Gene in Bifidobacterium breve UCC2003 is upregulated during growth on ribose	21255330
Ribose utilization	RbsA	NA	Ribose ABC transporter ATP-binding component (TC 3.A.1.2)	no	Rib	transporter	TC 3.A.1.2	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-ribose	RbsR	fig|326426.4.peg.1524	Bbr_1419	characterized_bifido	Gene in Bifidobacterium breve UCC2003 is upregulated during growth on D-ribose	21255330
Ribose utilization	RbsB	NA	Ribose ABC transporter substrate-binding component (TC 3.A.1.2)	no	Rib	transporter	TC 3.A.1.2	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-ribose	RbsR	fig|326426.4.peg.1522	Bbr_1417	characterized_bifido	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on D-ribose. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on D-ribose	21255330
Ribose utilization	RbsC	NA	Ribose ABC transporter permease component (TC 3.A.1.2)	no	Rib	transporter	TC 3.A.1.2	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-ribose	RbsR	fig|326426.4.peg.1523	Bbr_1418	characterized_bifido	Gene in Bifidobacterium breve UCC2003 is upregulated during growth on D-ribose	21255330
Ribose utilization	FruE	NA	Fructose/xylose/ribose/arabinose ABC transporter substrate-binding component (TC 3.A.1.2.23)	yes	Rib	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	fig|206672.9.peg.35	BL0033	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705). Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated during growth on D-fructose, D-ribose, and D-xylose. Gene in Bifidobacterium longum subsp. longum NCIMB8809 is upregulated during growth on arabinose and arabinoxylan	22102285;38752423
Ribose utilization	FruF	NA	Fructose/xylose/ribose/arabinose ABC transporter permease component 1 (TC 3.A.1.2.23)	yes	Rib	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	fig|206672.9.peg.37	BL0035	characterized_bifido	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated during growth on D-fructose, D-ribose, and D-xylose. Gene in Bifidobacterium longum subsp. longum NCIMB8809 is upregulated during growth on arabinose and arabinoxylan	22102285;38752423
Ribose utilization	FruG	NA	Fructose/xylose/ribose/arabinose ABC transporter permease component 2 (TC 3.A.1.2.23)	yes	Rib	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	fig|206672.9.peg.38	BL0036	characterized_bifido	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated during growth on D-fructose, D-ribose, and D-xylose. Gene in Bifidobacterium longum subsp. longum NCIMB8809 is upregulated during growth on arabinose and arabinoxylan	22102285;38752423
Ribose utilization	FruK	NA	Fructose/xylose/ribose/arabinose ABC transporter ATP-binding component (TC 3.A.1.2.23)	yes	Rib	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	fig|206672.9.peg.36	BL0034	characterized_bifido	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated during growth on D-fructose, D-ribose, and D-xylose. Gene in Bifidobacterium longum subsp. longum NCIMB8809 is upregulated during growth on arabinose and arabinoxylan	22102285;38752423
Ribose utilization	RbsR	NA	Transcriptional regulator of ribose utilization (LacI family)	no	Rib	regulator	LacI	NA	Represses rbsACBDK. Transcriptional effector: D-ribose	NA	fig|326426.4.peg.1525	Bbr_1420	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Gene in Bifidobacterium breve UCC2003 is downregulated during growth on ribose	21255330
N-acetylglucosamine utilization	NagEa	NagE	Putative N-acetylglucosamine-specific PTS system IIA component (TC 4.A.1)	no	GlcNAc	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine with concomitant phosphorylation at the C-6 position	NA	fig|702459.3.peg.250	BBPR_0239	predicted_previously	Function was suggested previously in the literature	22562993
N-acetylglucosamine utilization	NagEb	NagE	Putative N-acetylglucosamine-specific PTS system IIB component (TC 4.A.1)	no	GlcNAc	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine with concomitant phosphorylation at the C-6 position	NA	fig|702459.3.peg.251	BBPR_0240	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium bifidum PRL2010 is upregulated during growth on mucin, N-acetylglucosamine	22562993
N-acetylglucosamine utilization	NagEc	NagE	Putative N-acetylglucosamine-specific PTS system IIC component (TC 4.A.1)	no	GlcNAc	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine with concomitant phosphorylation at the C-6 position	NA	fig|702459.3.peg.251	BBPR_0240	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium bifidum PRL2010 is upregulated during growth on mucin, N-acetylglucosamine	22562993
N-acetylglucosamine utilization	NagE2a	NA	Putative N-acetylglucosamine-specific PTS system-2 IIA component (TC 4.A.1)	no	GlcNAc	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine with concomitant phosphorylation at the C-6 position	NA	fig|326426.4.peg.2024	Bbr_1879	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium breve UCC2003 is upregulated during co-cultivation with Bifidobacterium bifidum in a mucin-supplemented medium	25420416
N-acetylglucosamine utilization	NagE2b	NA	Putative N-acetylglucosamine-specific PTS system-2 IIB component (TC 4.A.1)	no	GlcNAc	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine with concomitant phosphorylation at the C-6 position	NA	fig|326426.4.peg.2025	Bbr_1880	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium breve UCC2003 is upregulated during co-cultivation with Bifidobacterium bifidum in a mucin-supplemented medium	25420416
N-acetylglucosamine utilization	NagE2c	NA	Putative N-acetylglucosamine-specific PTS system-2 IIC component (TC 4.A.1)	no	GlcNAc	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine with concomitant phosphorylation at the C-6 position	NA	fig|326426.4.peg.2025	Bbr_1880	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium breve UCC2003 is upregulated during co-cultivation with Bifidobacterium bifidum in a mucin-supplemented medium	25420416
N-acetylglucosamine utilization	NagK	Blon_0879	Putative N-acetylglucosamine kinase (EC 2.7.1.59)	yes	GlcNAc;Chb	downstream_catabolism	EC 2.7.1.59	NA	Predicted to phosphorylate N-acetylglucosamine to N-acetylglucosamine-6-phosphate	NagR	fig|391904.5.peg.882	Blon_0879	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNT, LNnT, and HMO mixture	26337101;29900174;36094076
N-acetylglucosamine utilization	NagA	Blon_0882	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	yes	GlcNAc;Chb	downstream_catabolism	EC 3.5.1.25;CE9	NA	Converts N-acetylglucosamine-6-phosphate to D-glucosamine-6-phosphate	NagR	fig|391904.5.peg.885	Blon_0882	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNT, LNnT, and HMO mixture	24814790;26337101; 29900174;36094076
N-acetylglucosamine utilization	NagB	Blon_0881	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	yes	GlcNAc;Chb	downstream_catabolism	EC 3.5.99.6	NA	Converts D-glucosamine-6-phosphate to D-fructose-6-phosphate	NagR	fig|391904.5.peg.884	Blon_0881	homology_with_characterized	Paralog (89% amino acid sequence identity) of characterized glucosamine-6-phosphate deaminase from Bifidobacterium breve UCC2003. Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNT, LNnT, and HMO mixture	24814790;26337101; 29900174;36094076
N-acetylglucosamine utilization	ChiX	NA	Putative diacetylchitobiose ABC transporter substrate-binding component (TC 3.A.1.1)	no	Chb	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport diacetylchitobiose	ChiR OR NagR	fig|759350.3.peg.1404	BLJ_1420	homology_with_characterized	34% amino acid sequence identity with characterized diacetylchitobiose binding protein DasA from Streptomyces coelicolor	17351098
N-acetylglucosamine utilization	ChiY	NA	Putative diacetylchitobiose ABC transporter permease component 1 (TC 3.A.1.1)	no	Chb	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport diacetylchitobiose	ChiR OR NagR	fig|759350.3.peg.1403	BLJ_1419	predicted_new	NA	NA
N-acetylglucosamine utilization	ChiZ	NA	Putative diacetylchitobiose ABC transporter permease component 2 (TC 3.A.1.1)	no	Chb	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport diacetylchitobiose	ChiR OR NagR	fig|759350.3.peg.1402	BLJ_1418	predicted_new	NA	NA
N-acetylglucosamine utilization	Hex1	Blon_0732	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)	yes	Chb	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA OR ChiR	fig|391904.5.peg.725;fig|565042.3.peg.1443	Blon_0732;BLLJ_1391	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697, Bifidobacterium longum subsp. longum JCM1217)	22579845;10.5458/jag.jag.JAG-2013_001
N-acetylglucosamine utilization	NahA	Blon_0459	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)	yes	Chb	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	fig|391904.5.peg.458;fig|326426.4.peg.1671	Blon_0459;Bbr_1556	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697, Bifidobacterium breve UCC2003; Bifidobacterium pseudocatenulatum MM0196). Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on LNT and LNnT	22579845;27929046;39315793
N-acetylglucosamine utilization	ChiR	NA	Putative transcriptional regulator of diacetylchitobiose utilization (LacI family)	no	Chb	regulator	LacI	NA	Predicted to regulate the expression of chiX, chiY, chiZ, hex1	ChiR	fig|759350.3.peg.1405	BLJ_1421	predicted_new	NA	NA
N-acetylglucosamine utilization	NagKs	NA	Putative N-acetylglucosamine kinase involved in GlcNAc-6S utilization (EC 2.7.1.59)	no	GlcNAc6S	downstream_catabolism	EC 2.7.1.59	NA	Predicted to phosphorylate N-acetylglucosamine to N-acetylglucosamine-6-phosphate	AtsR	fig|326426.4.peg.919	Bbr_0848	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylglucosamine-6-sulfate	27590817
N-acetylglucosamine utilization	NagAs	NagA1	N-acetylglucosamine-6-phosphate deacetylase involved in GlcNAc-6S utilization (EC 3.5.1.25)	no	GlcNAc6S	downstream_catabolism	EC 3.5.1.25;CE9	NA	Converts N-acetylglucosamine-6-phosphate to D-glucosamine-6-phosphate	AtsR	fig|326426.4.peg.917	Bbr_0846	homology_with_characterized	Paralog (74% amino acid sequence identity) of characterized N-acetylglucosamine-6-phosphate deacetylase from Bifidobacterium breve UCC2003	24814790;27590817
N-acetylglucosamine utilization	NagBs	NagB2	Glucosamine-6-phosphate deaminase involved in GlcNAc-6S utilization (EC 3.5.99.6)	no	GlcNAc6S	downstream_catabolism	EC 3.5.99.6	NA	Converts D-glucosamine-6-phosphate to D-fructose-6-phosphate	AtsR	fig|326426.4.peg.918	Bbr_0847	homology_with_characterized	Paralog (84% amino acid sequence identity) of characterized glucosamine-6-phosphate deaminase from Bifidobacterium breve UCC2003	24814790;27590817
N-acetylglucosamine utilization	AtsA	AtsA2	Anaerobic N-acetylglucosamine-6-sulfatase (EC 3.1.6.14)	no	GlcNAc6S	downstream_catabolism	EC 3.1.6.14	NA	Cleaves the 6-sulfate group of N-acetylglucosamine 6-sulfate	AtsR	fig|326426.4.peg.924	Bbr_0852	characterized_bifido	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on N-acetylglucosamine-6-sulfate. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylglucosamine-6-sulfate	27590817
N-acetylglucosamine utilization	AtsB	AtsB2	Putative anaerobic N-acetylglucosamine-6-sulfatase maturing enzyme	no	GlcNAc6S	downstream_catabolism	NA	NA	Modifies AtsA precursor	AtsR	fig|326426.4.peg.925	Bbr_0853	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylglucosamine-6-sulfate	27590817
N-acetylglucosamine utilization	AtsE	NA	Putative sulfite/sulfate exporter	no	GlcNAc6S	transporter	TC 2.A.102	The 4-Toluene Sulfonate Uptake Permease (TSUP) Family 	Predicted to export sulfate released from N-acetylglucosamine-6-sulfate	AtsR	fig|326426.4.peg.926	Bbr_0854	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylglucosamine-6-sulfate	27590817
N-acetylglucosamine utilization	AtsT	NA	N-acetylglucosamine-6-sulfate MFS permease (TC 2.A.1.1)	no	GlcNAc6S	transporter	TC 2.A.1.1	MFS Superfamily; Sugar Porter (SP) Family	Transports N-acetylglucosamine-6-sulfate	AtsR	fig|326426.4.peg.923	Bbr_0851	characterized_bifido	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on N-acetylglucosamine-6-sulfate. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylglucosamine-6-sulfate	27590817
N-acetylglucosamine utilization	AtsR	AtsR2	Transcriptional regulator of N-acetylglucosamine-6-sulfate utilization (LacI family)	no	GlcNAc6S	regulator	ROK	NA	Represses atsTAB, activates nagKsBsAs. Transcriptional effector: N-acetylglucosamine-6-sulfate	AtsR	fig|326426.4.peg.920	Bbr_0849	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylglucosamine-6-sulfate	27590817
Fucose utilization	FumB	FucU	L-fucose mutarotase-1 (EC 5.1.3.29)	yes	Fuc	downstream_catabolism	EC 5.1.3.29	NA	Converts alpha-L-fucopyranose to beta-L-fucopyranose	FumR	fig|1679.217.peg.680	BLNG_01262	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	27756904;31659215;34757822
Fucose utilization	FumC	FclA	L-fuco-beta-pyranose dehydrogenase-1 (EC 1.1.1.122)	yes	Fuc	downstream_catabolism	EC 1.1.1.122	NA	Converts beta-L-fucopyranose to L-fuconolactone	FumR	fig|1679.217.peg.677	BLNG_01259	homology_with_characterized	54% amino acid sequence identity with characterized L-fucose dehydrogenase from Burkholderia multivorans. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	23214453;27756904;31659215;34757822
Fucose utilization	FumD	FclB	L-fuconolactone hydrolase-1 (EC 3.1.1.-)	yes	Fuc	downstream_catabolism	EC 3.1.1.-	NA	Predicted to convert L-fuconolactone to L-fuconate	FumR	fig|1679.217.peg.678	BLNG_01260	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	27756904;31659215;34757822
Fucose utilization	FumE	FclC	L-fuconate dehydratase-1 (EC 4.2.1.68)	yes	Fuc	downstream_catabolism	EC 4.2.1.68	NA	Converts L-fuconate to 2-keto-3-deoxy-L-fuconate	FumR	fig|1679.217.peg.676	BLNG_01258	homology_with_characterized	56% amino acid sequence identity with characterized L-fuconate dehydratase from Xanthomonas campestris pv. campestris. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	17144652;27756904;31659215;34757822
Fucose utilization	FumF	FclE	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)	yes	Fuc	downstream_catabolism	EC 4.1.2.18	NA	Predicted to cleave 2-keto-3-deoxy-L-fuconate to pyruvate and L-lactaldehyde	FumR	fig|1679.217.peg.679	BLNG_01261	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	27756904;31659215;34757822
Fucose utilization	FumB2	FucU	L-fucose mutarotase-2 (EC 5.1.3.29)	yes	Fuc	downstream_catabolism	EC 5.1.3.29	NA	Converts alpha-L-fucopyranose to beta-L-fucopyranose	NA	fig|391904.5.peg.2316	Blon_2305	predicted_previously	Function was suggested previously in the literature	33330584
Fucose utilization	FumC2	FclA2	L-fuco-beta-pyranose dehydrogenase-2 (EC 1.1.1.122)	yes	Fuc	downstream_catabolism	EC 1.1.1.122	NA	Converts beta-L-fucopyranose to L-fuconolactone	FucR	fig|326426.4.peg.1870	Bbr_1743	homology_with_characterized	52% amino acid sequence identity with characterized L-fucose dehydrogenase from Burkholderia multivorans	23214453
Fucose utilization	FumD2	FclB2	L-fuconolactone hydrolase-2 (EC 3.1.1.-)	yes	Fuc	downstream_catabolism	EC 3.1.1.-	NA	Predicted to convert L-fuconolactone to L-fuconate	FucR	fig|326426.4.peg.1868	Bbr_1741	predicted_previously	Function was suggested previously in the literature	33330584
Fucose utilization	FumE2	FclC2	L-fuconate dehydratase-2 (EC 4.2.1.68)	yes	Fuc	downstream_catabolism	EC 4.2.1.68	NA	Converts L-fuconate to 2-keto-3-deoxy-L-fuconate	FucR	fig|326426.4.peg.1872	Bbr_1744	homology_with_characterized	54% amino acid sequence identity with characterized L-fuconate dehydratase from Xanthomonas campestris pv. campestris	17144652
Fucose utilization	FumF2	FclE2	2-keto-3-deoxy-L-fuconate aldolase-2 (EC 4.1.2.18)	yes	Fuc	downstream_catabolism	EC 4.1.2.18	NA	Predicted to cleave 2-keto-3-deoxy-L-fuconate to pyruvate and L-lactaldehyde	FucR	fig|326426.4.peg.1867	Bbr_1740	predicted_previously	Function was suggested previously in the literature	33330584
Fucose utilization	FucP	FumP	Fucose MFS permease (TC 2.A.1.7)	no	Fuc	transporter	TC 2.A.1.7	MFS Superfamily; Fucose: H+ Symporter (FHS) Family	Transports L-fucose	FucR	fig|326426.4.peg.1869	Bbr_1742	characterized_bifido	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 and Bifidobacterium longum subsp. infantis ATCC15697 on fucose	25420416;33460787
Fucose utilization	FucR	NA	Transcriptional regulator of fucose utilization (LacI family)	no	Fuc	regulator	LacI	NA	Regulates the expression genes involved in L-fucose utilization (fumC2, fumD2, fumE2, fumF2, and fucP). Transcriptional effector: L-fucose	FucR	fig|326426.4.peg.1873	Bbr_1745	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC15697)	38593579
Fucose utilization	FucO	FumG	Lactaldehyde reductase (EC 1.1.1.77)	yes	Fuc	downstream_catabolism	EC 1.1.1.77	NA	Converts L-lactaldehyde to 1,2-propanediol	NA	fig|326426.4.peg.1611	Bbr_1505	homology_with_characterized	57% amino acid sequence identity with characterized lactaldehyde reductase from Escherichia coli	15995211
